,Date,Value
739,2018-01-09,14714.253333300001
740,2018-01-10,15126.3983333
741,2018-01-11,13296.794
742,2018-01-12,13912.882
743,2018-01-13,14499.7733333
744,2018-01-14,13852.92
745,2018-01-15,14012.196000000002
746,2018-01-16,11180.998333299998
747,2018-01-17,11116.946666700002
748,2018-01-18,11345.4233333
749,2018-01-19,11422.44
750,2018-01-20,12950.793333299998
751,2018-01-21,11505.228000000001
752,2018-01-22,10544.5933333
753,2018-01-23,11223.063999999998
754,2018-01-24,11282.258333299998
755,2018-01-25,11214.44
756,2018-01-26,10969.815
757,2018-01-27,11524.776666700001
758,2018-01-28,11765.71
759,2018-01-29,11212.655
760,2018-01-30,10184.061666700001
761,2018-01-31,10125.0133333
762,2018-02-01,9083.25833333
763,2018-02-02,8901.90166667
764,2018-02-03,9076.67833333
765,2018-02-04,8400.64833333
766,2018-02-05,6838.81666667
767,2018-02-06,7685.63333333
768,2018-02-07,8099.95833333
769,2018-02-08,8240.53666667
770,2018-02-09,8535.51666667
771,2018-02-10,8319.87656618
772,2018-02-11,8343.455
773,2018-02-12,8811.34333333
774,2018-02-13,8597.7675
775,2018-02-14,9334.63333333
776,2018-02-15,9977.154
777,2018-02-16,10127.161666700002
778,2018-02-17,10841.991666700002
779,2018-02-18,10503.2983333
780,2018-02-19,11110.965
781,2018-02-20,11390.391666700001
782,2018-02-21,10532.7916667
783,2018-02-22,9931.07166667
784,2018-02-23,10162.116666700002
785,2018-02-24,9697.956
786,2018-02-25,9696.59333333
787,2018-02-26,10348.6033333
788,2018-02-27,10763.883333299998
789,2018-02-28,10370.165
790,2018-03-01,11009.381666700001
791,2018-03-02,11055.815
792,2018-03-03,11326.948333299999
793,2018-03-04,11430.1816667
794,2018-03-05,11595.54
795,2018-03-06,10763.198333299999
796,2018-03-07,10118.058
797,2018-03-08,9429.11166667
798,2018-03-09,9089.27833333
799,2018-03-10,8746.002
800,2018-03-11,9761.39666667
801,2018-03-12,9182.84333333
802,2018-03-13,9154.7
803,2018-03-14,8151.53166667
804,2018-03-15,8358.12166667
805,2018-03-16,8530.402
806,2018-03-17,7993.67464364
807,2018-03-18,8171.415
808,2018-03-19,8412.03333333
809,2018-03-20,8986.94833333
810,2018-03-21,8947.75333333
811,2018-03-22,8690.40833333
812,2018-03-23,8686.82666667
813,2018-03-24,8662.37833333
814,2018-03-25,8617.29666667
815,2018-03-26,8197.54833333
816,2018-03-27,7876.195
